,被试数量,样本序号,实验序号,实验处理,误差,p值
0,2,3,Exp2,"(135, 800)",水平误差,0.39092337126205196
0,2,3,Exp2,"(180, 400)",水平误差,0.9208331516788669
0,2,3,Exp2,"(180, 800)",水平误差,0.44011875822251656
0,2,3,Exp2,"(225, 400)",水平误差,0.045440669294802775
0,2,3,Exp2,"(225, 800)",水平误差,0.20029019306279466
0,2,3,Exp2,"(270, 400)",水平误差,0.7160003869797297
0,2,3,Exp2,"(270, 800)",水平误差,0.7951672353008625
0,2,3,Exp2,"(315, 400)",水平误差,0.33799532891996414
0,2,3,Exp2,"(315, 800)",水平误差,0.21784182745368058
0,2,3,Exp2,"(0, 400)",垂直误差,0.23080282980050917
0,2,3,Exp2,"(0, 800)",垂直误差,0.4003041487233732
0,2,3,Exp2,"(45, 400)",垂直误差,0.08738301930986876
0,2,3,Exp2,"(45, 800)",垂直误差,0.1867871460444643
0,2,3,Exp2,"(90, 400)",垂直误差,0.3405629773005883
0,2,3,Exp2,"(90, 800)",垂直误差,0.5642165091684004
0,2,3,Exp2,"(135, 400)",垂直误差,0.2829759265787719
0,2,3,Exp2,"(135, 800)",垂直误差,0.13302365362275695
0,2,3,Exp2,"(180, 400)",垂直误差,0.5192856065436475
0,2,3,Exp2,"(180, 800)",垂直误差,0.605136913422502
0,2,3,Exp2,"(225, 400)",垂直误差,0.22005999823024314
0,2,3,Exp2,"(225, 800)",垂直误差,0.4655370663347973
0,2,3,Exp2,"(270, 400)",垂直误差,0.4219067084561016
0,2,3,Exp2,"(270, 800)",垂直误差,0.31844781935223954
0,2,3,Exp2,"(315, 400)",垂直误差,0.47378704297131563
0,2,3,Exp2,"(315, 800)",垂直误差,0.5205290029555001
0,2,3,Exp2,"('斜向上', 400)",水平误差,0.9685509507446606
0,2,3,Exp2,"('斜向上', 800)",水平误差,0.3530437001129524
0,2,3,Exp2,"('斜向下', 400)",水平误差,0.05224673969750567
0,2,3,Exp2,"('斜向下', 800)",水平误差,0.06717090881383289
0,2,3,Exp2,"('水平', 400)",水平误差,0.6534817283315938
0,2,3,Exp2,"('水平', 800)",水平误差,0.7653846862433981
0,2,3,Exp2,"('竖直', 400)",水平误差,0.5460276315893211
0,2,3,Exp2,"('竖直', 800)",水平误差,0.5417530603778664
0,2,3,Exp2,"('斜向上', 400)",垂直误差,0.029293605096811906
0,2,3,Exp2,"('斜向上', 800)",垂直误差,0.0646182176711646
