,Unnamed: 0,idNum,systemTime,trail,moveCondition,leapDirection,trajetoryIndex,chaseTheta,frogDisappearPos,frogPos,mousePos,predictError,predictScore,reactionTime,ID_Index
357,117,1,2024-04-20 16:27:26,118,3,1,35,0.0,"(0.5066098527147946, 0.0)","(0.9945416759725475, 0.0)","(1.4437428672810795, -0.0936877235717779)",0.9177343838411336,81,978,num_1_2024_04_20_16_16_52
358,118,1,2024-04-20 16:27:31,119,3,-1,50,0.0,"(1.0097928597065582, 0.0)","(0.4215442913544278, 0.0)","(0.07713789763409516, -0.09009139470428584)",0.7119893915929034,85,1026,num_1_2024_04_20_16_16_52
359,119,1,2024-04-20 16:27:35,120,3,-1,51,0.0,"(1.0701678263526473, 0.0)","(0.5543692179758241, 0.0)","(0.5770276102154921, -0.04333911942688906)",0.0978096521123513,98,1125,num_1_2024_04_20_16_16_52
360,0,1,2024-04-26 19:18:16,1,1,-1,61,79.327843637644,"(1.2226653323130925, 0.6320607825759045)","(0.8898637310888035, 1.0166913680306844)","(0.6957064628427302, 0.7478532314213652)",0.6632374793642127,86,414,num_1_2024_04_26_19_16_59
361,1,1,2024-04-26 19:18:20,2,1,-1,20,71.21817985703,"(1.090458235112405, 0.5796088021319616)","(0.5990081172472916, 0.8803162188764333)","(0.6273762143603809, 0.9276696747959683)",0.1104010637872843,97,341,num_1_2024_04_26_19_16_59
362,2,1,2024-04-26 19:18:24,3,1,-1,33,52.64366411416316,"(0.9565952080984337, 0.34284639573582276)","(0.30450945781655475, 0.26473396224647194)","(0.37922952250342856, 0.5392661571068254)",0.5690378338270793,88,555,num_1_2024_04_26_19_16_59
363,3,1,2024-04-26 19:18:28,4,1,1,95,77.96314930836421,"(0.3097453036367999, 0.625943261171451)","(0.5614396680009601, 1.0007858123791062)","(0.8467522752773968, 0.9528439768684128)",0.5786249336591452,88,457,num_1_2024_04_26_19_16_59
364,4,1,2024-04-26 19:18:32,5,1,-1,63,54.938869331031775,"(0.9798093407934585, 0.41132311764202867)","(0.3555805497456096, 0.44277343920260726)","(0.461945086455746, 0.7802201912287937)",0.7076262435002945,85,334,num_1_2024_04_26_19_16_59
365,5,1,2024-04-26 19:18:36,6,1,1,14,45.04018396020472,"(0.6710988117079741, 0.22285661786567434)","(1.2421976234159489, 0.053332108353240315)","(1.2351557929665398, 0.41339464674460324)",0.7202627824035056,85,346,num_1_2024_04_26_19_16_59
366,6,1,2024-04-26 19:18:40,7,1,1,28,77.06493706829764,"(0.4050470077920879, 0.6284123548543131)","(0.7711034171425926, 1.0072054559545478)","(1.0301650475194921, 1.0319632119532383)",0.520483908745037,89,402,num_1_2024_04_26_19_16_59
367,7,1,2024-04-26 19:18:44,8,1,1,92,45.485628759609895,"(0.6687230524520834, 0.23575018658592595)","(1.2374461049041665, 0.08341710203382657)","(1.1560365578817144, 0.47453223749196827)",0.7989957785391393,84,471,num_1_2024_04_26_19_16_59
368,8,1,2024-04-26 19:18:48,9,1,1,15,74.55958533690708,"(0.34222132317006365, 0.6306960558471728)","(0.6328869109741403, 1.0131430785359823)","(0.6921101339752381, 1.1074861181705715)",0.2227823984980091,95,426,num_1_2024_04_26_19_16_59
369,9,1,2024-04-26 19:18:52,10,1,-1,14,69.06707979121961,"(1.0821880520335767, 0.5723814101258535)","(0.5808137144738684, 0.8615249996605533)","(0.5446606504080634, 0.8089908221687302)",0.1275442487309964,97,224,num_1_2024_04_26_19_16_59
370,10,1,2024-04-26 19:18:56,11,1,1,18,48.0817792123112,"(0.6566518414269892, 0.29244868508066446)","(1.324634051139376, 0.1336999145430613)","(1.2171741486290795, 0.5536514725767936)",0.8669646861146806,82,393,num_1_2024_04_26_19_16_59
371,11,1,2024-04-26 19:19:00,12,1,-1,53,56.810578473177024,"(1.0107626032752621, 0.47825502550560883)","(0.4236777272055772, 0.6167963996479168)","(0.6633395030353016, 0.7694312046263175)",0.5682786305489641,88,303,num_1_2024_04_26_19_16_59
372,12,1,2024-04-26 19:19:04,13,1,-1,66,56.66278626527801,"(0.9883986059040812, 0.4321879139132858)","(0.3744769329889784, 0.4970219095078765)","(0.4511560998532698, 0.7406605736863809)",0.5108404577309354,89,407,num_1_2024_04_26_19_16_59
373,13,1,2024-04-26 19:19:08,14,1,-1,95,61.95075879113089,"(1.0554659643869753, 0.5445146182995719)","(0.5220251216513465, 0.78907134091222)","(0.634568872095365, 0.7658348757588255)",0.2298349762488768,95,428,num_1_2024_04_26_19_16_59
374,14,1,2024-04-26 19:19:12,15,1,1,61,73.45984119655353,"(0.37806231020994574, 0.6314167969457191)","(0.7117370824618796, 1.0150170053922023)","(0.7892110133975239, 0.7226789293489206)",0.6048595231268448,87,756,num_1_2024_04_26_19_16_59
375,15,1,2024-04-26 19:19:16,16,1,-1,35,73.03225876394448,"(1.1287524793941248, 0.6058741391434218)","(0.6832554546670735, 0.9486060951062296)","(0.5662386236130159, 0.8017981644337461)",0.3754757369432576,92,419,num_1_2024_04_26_19_16_59
376,16,1,2024-04-26 19:19:20,17,1,1,33,67.51638838227107,"(0.5161763061737087, 0.573366152601982)","(1.0155878735821595, 0.8640853300984868)","(1.184807188821651, 0.8449541108436508)",0.3405946576228052,93,448,num_1_2024_04_26_19_16_59
377,17,1,2024-04-26 19:19:24,18,1,1,89,73.77137057141044,"(0.4452705422965329, 0.6173556972073478)","(0.8595951930523722, 0.9784581460724378)","(1.195596175424127, 0.6147890633241587)",0.9902562535056448,80,1458,num_1_2024_04_26_19_16_59
378,18,1,2024-04-26 19:19:29,19,1,1,88,52.513389165414736,"(0.6296948389035523, 0.3853580507268006)","(1.2653286455878157, 0.3752642652230156)","(1.1560365578817144, 0.6040000767216825)",0.5070101848961688,89,489,num_1_2024_04_26_19_16_59
379,19,1,2024-04-26 19:19:33,20,1,-1,18,55.92792310292585,"(0.9827089887659184, 0.4185941828218491)","(0.36195977528502093, 0.461678208670141)","(0.41519281117834916, 0.5824221035167301)",0.2639154732344774,94,530,num_1_2024_04_26_19_16_59
380,20,1,2024-04-26 19:19:37,21,1,-1,46,73.83834728962756,"(1.1441583822635977, 0.6135203515481675)","(0.7171484409799144, 0.9684862473585694)","(0.4259817977808254, 0.5824221035167301)",0.967106069202666,80,1320,num_1_2024_04_26_19_16_59
381,21,1,2024-04-26 19:19:42,22,1,-1,6,71.97821592810786,"(1.1048639549203676, 0.5908076613528441)","(0.6307007008248084, 0.9094332528507272)","(0.46554141532323806, 0.632770707661619)",0.6444214568057292,87,458,num_1_2024_04_26_19_16_59
382,22,1,2024-04-26 19:19:46,23,1,-1,88,52.583072571105056,"(0.9570359410256926, 0.34434992746509296)","(0.3054790702565241, 0.2686431447425752)","(0.12748650177898407, 0.4997065395644127)",0.5833408844229045,88,671,num_1_2024_04_26_19_16_59
383,23,1,2024-04-26 19:19:51,24,1,1,63,57.01870208693393,"(0.6264691954578722, 0.39438378269937924)","(1.2582322300073192, 0.3987311683517205)","(1.249541108436508, 0.5536514725767936)",0.310327802527249,93,525,num_1_2024_04_26_19_16_59
